ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Low stock amount	Backorders allowed?	Sold individually?	Weight (kg)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position	Attribute 1 name	Attribute 1 value(s)	Attribute 1 visible	Attribute 1 global	Meta: _swatch_type
1	variable	V0001	Œ· ⁄‰»	1	1	visible	"<img src=""http://localhost/bakery/wp-content/uploads/2023/06/VINRAISIN.jpeg"" alt="""" width=""347"" height=""145"" class=""alignnone s<strong>ize-full wp-image-50"" />"	"<img src=""http://localhost/bakery/wp-content/uploads/2023/06/VINRAISIN.jpeg"" alt="""" width=""347"" height=""145"" class=""alignnone size-full wp-image-50"" />"			taxable		1	25	1	0	0					1			2	Œ·	VINEGAR											0	size	1 L	1	1	default
2	variable	V0002	Œ·  ›«Õ	1	1	visible	"<img class=""alignnone size-full wp-image-53"" src=""http://localhost/bakery/wp-content/uploads/2023/06/VINAPPLE.jpeg"" alt="""" width=""301"" height=""167"" />„÷«œ ÕÌÊÌ ÿ»Ì⁄Ì"	"<img src=""http://localhost/bakery/wp-content/uploads/2023/06/VINAPPLE.jpeg"" alt="""" width=""301"" height=""167"" class=""alignnone size-full wp-image-53"" />"			taxable		1	26	1	0	0					1			3	Œ·	VINEGAR											0	size	1 L	1	1	default
3	variable	CONF001	„—»Ï „‘„‘	1	1	visible	"<img class=""alignnone size-full wp-image-55"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFMICH.jpeg"" alt="""" width=""326"" height=""155"" />"	"<img class=""alignnone size-full wp-image-55"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFMICH.jpeg"" alt="""" width=""326"" height=""155"" />"			taxable		1	27	1	0	0					1			3	„—»Ì« 	Confiture											0	size	500 G	1	1	default
4	variable	CONF002	„—»Ï «·»ﬁÿÌ‰	1	1	visible	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"			taxable		1	28	1	0	0					1			5	„—»Ì« 	Confiture											0	size	501 G	1	1	default
5	variable	CONF003	„—»Ï  ›«Õ	1	1	visible	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"			taxable		1	29	1	0	0					1			3	„—»Ì« 	Confiture												size	502 G	1	1	default
6	variable	CONF004	„—»Ï ›—Ì“	1	1	visible	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"			taxable		1	30	1	0	0					1			2	„—»Ì« 	Confiture												size	503 G	1	1	default
7	variable	CONF005	„—»Ï ŒÊŒ	1	1	visible	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"			taxable		1	31	1	0	0					1			1	„—»Ì« 	Confiture												size	504 G	1	1	default
8	variable	CONF006	„—»Ï ⁄‰»	1	1	visible	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"			taxable		1	32	1	0	0					1			3	„—»Ì« 	Confiture												size	505 G	1	1	default
9	variable	CONF007	—» «·»‰œÊ—…	1	1	visible	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"	"<img class=""alignnone size-full wp-image-58"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFYAKTIN.jpeg"" alt="""" width=""300"" height=""168"" />"			taxable		1	33	1	0	0					1			3	„—»Ì« 	Confiture																
10	variable	CONF001	„—»Ï „‘„‘	1	1	visible	"<img class=""alignnone size-full wp-image-55"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFMICH.jpeg"" alt="""" width=""326"" height=""155"" />"	"<img class=""alignnone size-full wp-image-55"" src=""http://localhost/bakery/wp-content/uploads/2023/06/CONFMICH.jpeg"" alt="""" width=""326"" height=""155"" />"			taxable		1	27	1	0	0					1			3	„—»Ì« 	Confiture											0	size	500 G	1	1	default
